,name,net_price,date
472,Heidenreich -Bosco,767.60,2013 -12-08 18:53:38
473,Kunze Inc,1060.60,2014 -08-20 20:57:38
474,Huel -Haag,157.28,2014 -04-24 06:13:24
475,Waters -Walker,1370.09,2014 -02-22 07:22:10
476,Kunze Inc,473.84,2014 -04-15 02:11:56
477,Waters -Walker,1058.85,2013 -11-02 14:31:09
478,Gorczany -Hahn,183.12,2014 -05-26 22:06:38
479,Kunze Inc ,78.62,2014 -03-05 15:04:43
480,Hegmann and Sons,422.03,2014 -08-15 15:41:54
481,Carroll PLC,411.76,2014 -01-09 11:37:20
482,Berge LLC,1378.20,2013 -12-10 12:02:09
483,Carroll PLC,1317.76,2014 -03-24 12:29:30
484,Heid enreich -Bosco,673.92,2014 -04-18 19:19:35
485,Waelchi -Fahey,883.60,2014 -08-24 23:09:27
486,Hamill -Hackett,472.00,2014 -05-05 18:51:45
487,Huel -Haag,167.25,2013 -11-22 04:34:56
488,Koelpin PLC,1060.54,2014 -02-10 01:33:21
489,Hamill -Hackett,256.63,2013 -12-29 02:31:41
490,Heidenreich -Bosco,1010.76,2014 -01-28 00:34:31
491,Waelchi -Fahey,1680.62,2014 -05-10 02:37:09
492,Kunze Inc,60.35,2013 -10-24 08:39:48
493,Hamill -Hackett,700.00,2014 -01-26 12:58:22
494,Waelchi -Fahey,506.96,2014 -05-02 01:13:09
495,Hegmann and Sons,783.63,2014 -09-10 21:37:02
496,Heidenreich -Bosco,177.14,2013 -12-31 08:53:19
497,Koelpin PLC,441.28,2014 -08-14 03:02:46
498,Cole -Eichmann,513.20,2014 -03-24 03:39:51
499,Heidenreich -Bosco,255.97,2014 -01-28 23:58:09
500,Hegmann and Son s,342.84,2014 -08-24 06:07:33
501,Waelchi -Fahey,293.76,2014 -08-03 14:44:21
502,Waters -Walker,30 7.08,2014 -07-31 17:50:40
503,Waelchi -Fahey,1126.44,2014 -03-31 08:44:34
504,Carroll PLC,1293.36,2013 -11-14 23:35:37
505,Waelchi -Fahey,166.74,2014 -03-09 23:23:06
506,Kunze Inc,1408.62,2014 -10-02 16:34:54
507,Gorczany -Hahn,386.25,2013 -11-30 12:14:42
508,Kunze Inc,232.62,2014 -06-19 22:24:10
509,Huel -Haag,317.58,2013 -12-03 02:57:43
510,Kilback -Gerlach,1665.83,2014 -01-15 22:54:28
511,Waelchi -Fahey,367.20,2014 -06-18 14:02:05
512,Berge LLC,759.87,2014 -06-23 09:12:45
513,Cole -Eichmann,414.88,2013 -11-23 02:03:48
514,Huel -Haag,61 2.37,2014 -10-02 01:11:44
515,Kilback -Gerlach,490.16,2014 -02-23 05:35:58
516,Gorczany -Hahn,58.03,2013 -12-11 14:01:46
517,Hegmann and Sons,926.28,2014 -07-08 18:37:36
518,Hamill -Hackett,1107.36,2014 -04-28 21:34:27
519,Gorczany -Hahn,650.60,2014 -10-22 10:04:21
520,Huel -Haag,404.94,2014 -09-17 12:35:31
521,Carroll PLC,164.12,2014 -01-14 05:53:11
522,Berge LLC,501.80,2014 -02-15 00:17:15
523,Kilback -Gerlach,1457.20,2013 -12-27 03:41:18
524,Huel -Haag,243.80,2014 -01-20 10:14:17
525,Hamill -Hackett,564.60,2013 -10-24 07:27:44
526,Kunze Inc,720.00,2013 -11-19 04:49:59
527,Heidenreich -Bosco,131.67,2014 -02-06 22:02:39
528,Heidenreich -Bosco,334.08,2014 -02-25 02:43:31
529,Berge LLC,282.88,2014 -09-16 19:43:28
530,Waelchi -Fahey,1196.16,2014 -06-04 14:34:07
531,Kilback -Gerlach,1774.20,2014 -08-14 19:08:27
532,Kilback -Gerlach,335.60,2014 -05-18 00:50:58
533,Heidenreich -Bosco,123.12,2014 -10-09 15:27:45
534,Berge LLC,236.00,2014 -08-15 07:13:09
535,Carroll PLC,380.19,2013 -11-20 14:26:00
536,Kilback -Gerlach,667.08,2014 -07-09 17:04:57
537,Gorczany -Hahn,699.96,2014 -09-13 06:33:24
538,Waelchi -Fahey,242.46,2014 -03-25 04:34:58
539,Koelpin PLC,358 .15,2014 -07-02 12:21:25
540,Kunze Inc,398.93,2014 -06-25 22:06:27
541,Gorczany -Hahn,639.80,2014 -09-15 19:14:27
542,Huel -Haag,381.36,2014 -03-14 04:16:47
543,Hegmann and Sons,443.52,2014 -02-07 07:39:54
544,Gorczany -Hahn,167.80,2014 -09-20 07:43:39
545,Carroll PLC,171.28,2014 -09-11 18:45:17
546,Kunze Inc,979.92,2014 -09-04 03:23:22
547,Cole -Eichmann,1011.20,2014 -06-22 09:34:54
548,Kilback -Gerlach,95.18,2013 -11-16 10:27:30
549,Koelpin PLC,202.00,2014 -10-02 18:38:33
550,Kilback -Gerlach,447.20,2014 -04-27 02:17:28
551,Berge LLC,808.02,2014 -05-28 15:41:26
552,Gorczany -Hahn,66.55,2014 -06-02 11:41:36
553,Huel -Haag,290.60,2014 -08-02 12:08:32
554,Hamill -Hackett,1120.05,2014 -03-12 06:27:02
555,Waelchi -Fahey,70.88,2013 -10-25 14:47:00
556,Hegmann and Sons,38.84,2014 -08-23 03:19:29
557,Waters -Walker,637.29,2 014-01-30 11:06:55
558,Heidenreich -Bosco,1654.52,201 4-09-20 22:36:07
559,Huel -Haag,264.75,2013 -11-22 02:08:50
560,Gorczany -Hahn,1195.68,2014 -10-08 07:30:19
561,Kunze Inc,316.60,2014 -02-13 19:42:05
562,Waters -Walker,290.04,2014 -10-07 11:12:45
563,Waters -Walker,7 6.61,2014 -05-07 10:17:28
564,Cole -Eichmann,1922.80,2014 -08-02 19:08:15
565,Huel -Haag,691.90,2014 -01-07 14:36:19
566,Koelpin PLC,62.87,2014 -01-01 22:40:22
567,Waters -Walker,193.60,2014 -07-13 09:44:29
568,Heidenreich -Bosco,138.24,2014 -03-02 03:45:46
569,Kunze Inc,287.84,2014 -05-20 14:38:17
570,Gorczany -Hahn,132.39,2014 -03-01 13:31:22
571,Cole -Eichmann,87.70,2014 -06-09 21:31:11
572,Heidenreich -Bosco,301.05,2014 -06-27 12: 15:09
573,Waelchi -Fahey,956.59,2014 -02-09 14:52:49
574,Heidenreich -Bosco,633.60,2014 -06-07 18:59:21
575,Hegmann an d Sons,392.48,2014 -05-03 20:50:41
576,Koelpin PLC,1095.96,2014 -03-01 09:46:48
577,Gorczany -Hahn,280.50,2014 -08-25 21:36:41
578,Heidenreich -Bosco,510.72,2014 -04-07 07:12:29
579,Heidenreich -Bosco,364.28,2013 -11-07 19:58:39
580,Cole -Eichmann,1261.52,2014 -06-17 08:28:31
581,Hegmann and Sons,374.16,2014 -01-07 03:14:00
582,Hegmann and Sons,1326.60,2014 -10-15 01:54:05
583,Kilback -Gerlach,1275.36,2014 -08-30 06:23:27
584,Hamill -Hackett,1062.27,2014 -01-09 13:36:39
585,Carroll PLC,958.20,2014 -01-16 11:38:27
586,Waters -Walker,95.48,2014 -03-22 02:00:16
587,Cole -Eichmann,1751.94,2014 -01-16 12:27:14
588,Hamill -Hackett,1771.02,2014 -01-06 08:14:31
589,Cole -Eichmann,188.12,2013 -12-16 21:29:38
590,Cole -Eichmann,564.83,2014 -01-10 21:42:10
591,Waters -Walker,1263.45,2014 -07-18 04:09:08
592,Hegmann and Sons,352.26,2013 -11-17 23:11:28
593,Berge LLC,1308.30,2014 -02-10 07:13:32
594,Koelpin PLC,501.44,2013 -11-10 16: 34:17
595,Kilback -Gerlach,25.23,2014 -02-15 18:56:38
596,Carroll PLC,424.84,2014 -07-08 00:03:47
597,Kilback -Gerlach,946.66,2014 -02-10 18:44:09
598,Heidenreich -Bosco,89.32,2014 -05-22 10:55:51
599,Carroll PLC,385.97,2014 -03-25 09:03:04
600,Hegmann and Sons, 1157.88,2014 -08-24 02:46:41
601,Kilback -Gerlach,273.7 2,2014 -09-17 02:46:57
602,Waters -Walker,546.44,2013 -12-19 19:43:07
603,Heidenreich -Bosco,71.42,2014 -07-03 03:16:33
604,Carroll PLC,294.75,2014 -02-08 10:48:21
605,Hegmann and Sons,218.88,2014 -05-01 16:46:03
606,Huel -Haag,44.76,2014 -01-23 23:47:01
607,Gorczany -Hahn,1447.00,2014 -08-11 19:02:14
608,Kilback -Gerlach,91.96,2013 -10-23 15:08:31
609,Waters -Walker,1994.80,2014 -04-18 15:39:12
610,Heidenreich -Bosco,1242.30,2014 -03-27 04:42:40
611,Berge LLC,680. 32,2014 -02-26 14:43:51
612,Cole -Eichmann,732.40,2014 -06-07 10:04:53
613,Waters -Walker,617.58,2014 -08-12 08:06:21
614,Huel -Haag,57.33,2014 -08-27 11:27:28
615,Kunze Inc,244.44,2014 -02-08 06:22:34
616,Waelchi -Fahey,565.60,2014 -10-01 11:38:04
617,Carroll PLC,287.40,2014 -07-20 17:22:03
618,Kunze Inc,314.56,2014 -05-03 21:18:15
619,Waters -Walker,1182.35,2014 -06-14 12:43:51
620,Huel -Haag,883.98,2014 -07-26 01:10:57
621,Heidenreich -Bosco,1047.62,2014 -06-27 05:58:33
